outer_fold,held_out_doi,repetition,selected_p,mae_p4,mae_p5,mae_p6
2,10.1016/S0013-4686(99)00431-4,18,4,0.012051110334848283,0.012779474723625414,0.013912137192175723
2,10.1016/S0013-4686(99)00431-4,19,4,0.00697232426721714,0.010265256497713739,0.013231826740358735
3,10.1016/j.jpowsour.2010.12.040,0,4,0.013602625375051447,0.01474487580613449,0.016720085173812335
3,10.1016/j.jpowsour.2010.12.040,1,4,0.010517881257527187,0.014257199070500682,0.01789006562353035
3,10.1016/j.jpowsour.2010.12.040,2,4,0.00852422744537211,0.012226044774573926,0.015354523747499014
3,10.1016/j.jpowsour.2010.12.040,3,4,0.012414272654563324,0.015334234499352041,0.0176870049130728
3,10.1016/j.jpowsour.2010.12.040,4,4,0.008511009049773257,0.01260118399620555,0.017014297317879453
3,10.1016/j.jpowsour.2010.12.040,5,4,0.011466114990312366,0.01620702393482529,0.021121281935513412
3,10.1016/j.jpowsour.2010.12.040,6,6,0.008155711114108616,0.008176943624220868,0.007447131105066891
3,10.1016/j.jpowsour.2010.12.040,7,4,0.014255032131091151,0.02038706806927679,0.025909541144057625
3,10.1016/j.jpowsour.2010.12.040,8,4,0.008497374691699092,0.010918209993724316,0.01376956076652476
3,10.1016/j.jpowsour.2010.12.040,9,4,0.011991101402030163,0.01573764208015924,0.019521879454074968
3,10.1016/j.jpowsour.2010.12.040,10,4,0.011624736828044428,0.015401814163834222,0.020202927655302686
3,10.1016/j.jpowsour.2010.12.040,11,4,0.010547947861655296,0.014335472596604374,0.017815540424372472
3,10.1016/j.jpowsour.2010.12.040,12,4,0.013251453766097656,0.016152286581148218,0.020702780646771387
3,10.1016/j.jpowsour.2010.12.040,13,4,0.010388643606192976,0.015151801350153723,0.019414025011216734
3,10.1016/j.jpowsour.2010.12.040,14,4,0.00942894928600956,0.013029190169089716,0.016187396260816524
3,10.1016/j.jpowsour.2010.12.040,15,4,0.008710400257087926,0.009531691981034873,0.010175701276699636
3,10.1016/j.jpowsour.2010.12.040,16,4,0.010209630110527789,0.013885064897816435,0.017112407510192006
3,10.1016/j.jpowsour.2010.12.040,17,6,0.008488475957699549,0.008778939025989958,0.00837513820206686
